id	Natural Language Question (QALD-9)	Natural Language w/o aggregation or numeric operations	Semi-formal Query (manual)	Dbpedia Formal Query (QALD-9)	YAGO Formal Query (manually verified)	gAnswer Formal Query
1	List all boardgames by GMT.	List all boardgames by GMT.	"SELECT ?x
WHERE
{
   ?x madeBy GMT  .
}"	"SELECT ?uri 
WHERE 
{ 
	?uri dbo:publisher res:GMT_Games 
}"	No translation was found (manually)	Not found
2	Who developed Skype?	Who developed Skype?	"SELECT ?x
WHERE
{
  ?x developer skype      
}"	"SELECT ?x
WHERE 
{
   dbr:Skype dbo:developer ?x.
}  
"	"SELECT ?x
WHERE 
{
  ?x <created> <Skype>
}"	"select DISTINCT ?Who
where 
{ 
 <Skype> <developer> ?Who. 
}"
3	Which people were born in Heraklion?	Which people were born in Heraklion?	"SELECT ?x
WHERE
{
  ?x born heraklion 
}"	"SELECT ?x
WHERE 
{       
   ?x dbo:birthPlace dbr:Heraklion .
}"	"SELECT ?x
WHERE 
{
  ?x <wasBornIn> <Heraklion>
}"	"select DISTINCT ?people  
where 
{ 
 ?people <birthPlace> <Heraklion>. 
}"
4	In which U.S. state is Area 51 located?	In which U.S. state is Area 51 located?	"SELECT ?x
WHERE
{
  area51 located ?x 
}"	"SELECT ?x
WHERE 
{
   dbr:Area_51 dbo:location ?x . 
   ?x dbo:country dbr:United_States.
}"	"SELECT ?x
WHERE 
{
  <Area_51> <isLocatedIn> ?x
}"	"select DISTINCT ?US_state  
where 
{ 
 ?US_state <type> <yago:StatesOfTheUnitedStates>. 
}"
5	Who is the mayor of New York City?	Who is the mayor of New York City?	"SELECT ?x
WHERE
{
  NewYorkCity mayor ?x 
}"	"SELECT ?x
WHERE 
{
   dbr:New_York_City dbo:leaderName ?x
}"	"SELECT ?x
WHERE 
{
  ?x <isLeaderOf> <New_York_City>
}"	Not found
6	Which countries have places with more than two caves?	Which countries have places with caves?	"SELECT ?z
WHERE
{
  ?z country ?x  . 
  ?c located ?z  .
  ?b located ?c  .
  ?b type cave .
}"	"SELECT ?y
WHERE 
{
   ?x rdf:type dbo:Cave .
   ?x dbo:location ?y . 
   ?y rdf:type dbo:Country
}"	"SELECT ?x
WHERE 
{
  ?z <infobox/en/country> ?x .
  ?c <isLocatedIn> ?z .
  ?b <isLocatedIn> ?c .
  ?b rdf:type <wikicat_Caves>
}"	Not found
7	Where did Abraham Lincoln die?	Where did Abraham Lincoln die?	"SELECT ?x
WHERE
{
  Abraham_Lincoln died ?x
}"	"SELECT ?x
WHERE 
{        
   dbr:Abraham_Lincoln dbo:deathPlace ?x.
}"	"SELECT ?x ?y
WHERE 
{        
  <Abraham_Lincoln> <diedIn> ?x .
  ?x <isLocatedIn>?y
}"	"select DISTINCT ?Where  
where 
{ 
 ?Where <type> <Location>. 
 <Abraham_Lincoln> <deathPlace> ?Where. 
}"
8	Which airports does Air China serve?	Which airports does Air China serve?	"SELECT ?x
WHERE
{
  air_china lands ?x
}"	"SELECT ?x
WHERE
{        
   dbr:Air_China dbo:targetAirport ?x
}"	"SELECT ?x
WHERE
{        
  <Air_China> <infobox/en/focuscities> ?x
}"	"select DISTINCT ?airports
where 
{ 
 ?airports <type> <Airport>. 
 <Air_China> <hubAirport> ?airports. 
}"
9	Give me all actors starring in movies directed by William Shatner.	Give me all actors starring in movies directed by William Shatner.	"SELECT ?x ?y
WHERE
{       
   ?y direct William_Shatner  .       
   ?x  act ?y .      
}"	"SELECT ?x ?y
WHERE 
{  
   ?x dbo:director dbr:William_Shatner .        
   ?x dbo:starring ?y .              
}"	"SELECT ?x ?y
WHERE 
{               
  <William_Shatner> <directed> ?x .
  ?y <actedIn> ?x .
}"	"select DISTINCT ?films ?actors  
where 
{ 
	?films	<type>	<Film>. 
	?films	<director>	<William_Shatner>. 
	?films	<starring>	?actors. 
}"
10	What are the official languages of the Philippines?	What are the official languages of the Philippines?	"SELECT ?x
WHERE
{
   Philippines langauge ?x
}  "	"SELECT ?x
WHERE 
{        
   dbr:Philippines dbo:officialLanguage ?x
}"	"SELECT ?x
WHERE 
{        
  <Philippines> <hasOfficialLanguage> ?x
}"	Not found
